id	g6	aut	edges	L	ratio	ratio_float	beat	aut_ge_T
8	Os?GOO?@gJ?[??W?i?P_C	4608	24	14157247603814383/51814243774195072542714101760000000000	29371697299371975644305440/7628328998218493	3850344853.54	0	1
9	Os?GOOC?gI_[G?C?k?I_C	512	24	258779890599170401/116582048491938913221106728960000000000	238615264666293092946910080/7628328998218493	31280148604.2	0	0
5	Os???GA?WBBAEAP_CoBO?	128	24	484449148178727023/69085658365593430056952135680000000000	753806149442340935982675480/7628328998218493	98816680510	0	0
7	Os?GOO??AHGQGSDCAK@D?	96	24	129956767997112929/15544273132258521762814230528000000000	898727153383375013366222400/7628328998218493	117814419592	0	0
6	Os?GOGEAOC?GCDGII?b?O	32	24	2081377252397620159/66618313423965093269203845120000000000	3358586596131327737365025760/7628328998218493	440278152255	0	0
10	Os?GOOD@_C?GCEGHI@B?G	32	24	1041148809014621743/33309156711982546634601922560000000000	3360071731836711880490927040/7628328998218493	440472839153	0	0
2	OoCO?CA???_A?B?W@_B??	98304	16	49870846239601/129406203232255425930854400000000	41427719066461586900513472000/7628328998218493	5.43077246355e+12	0	1
3	OoCO?CAAOH???@?@G?P?A	512	16	250460801116741/4043943851007982060339200000000	6657850339879547045791217664000/7628328998218493	8.72779653504e+14	0	0
4	OoCOOGA?O?_C?@?AC?I?C	32	16	562944990377999/568679604047997477235200000000	106413734934371769539395977216000/7628328998218493	1.39498093172e+16	0	0
1	O`?G?C??G??@????_???@	10321920	8	1876949/834966920275488000000	241647653530173606828598886400000/7628328998218493	3.16776653952e+16	0	1
0	O????????????????????	20922789888000	0	1/20922789888000	5137830662705641207660953600000000/7628328998218493	6.73519805439e+17	0	1
