id	g6	aut	edges	L	ratio	ratio_float	beat	aut_ge_T
44	QsaG??A?XfIYHGQCak?s`XOPiA?	36	45	38619050605728802537533203/617435006918861129048407510324885406487674880000000000000	1261684383289159978901209742010/15403174159064940584581	81910674.4013	0	0
106	QsiW??A?PDaMSgWSGoQQBDd?hg?	36	45	40192752976943894755177093/617435006918861129048407510324885406487674880000000000000	5109327781154696660123095830/59934529801809107333	85248483.6045	0	0
107	QsiW??B?x?aDWSSgHGQKBIR?UK?	36	45	6786916069669634524505827/102905834486476854841401251720814234414612480000000000000	1330371287976641759493632208540/15403174159064940584581	86369943.8985	0	0
19	Qsa??????mb[IkP[Hs@Y_[c@p_?	36	45	21129378947679358184912887/205811668972953709682802503441628468829224960000000000000	2070890430662053895703312054870/15403174159064940584581	134445693.419	0	0
23	Qsa??CA?OJ@RDXIeIkBS_\G@wO?	36	45	32758307593084360642556983/308717503459430564524203755162442703243837440000000000000	2140427818132132124384673269220/15403174159064940584581	138960177.69	0	0
25	Qsa??KCOObCrBAEcBUBDCWGpx??	18	45	1367715469324477739651567/12863229310809606855175156465101779301826560000000000000	2144796690375873012212001306720/15403174159064940584581	139243812.232	0	0
108	QsiW?D?OhCAIAW@qkAabCDBGig?	18	45	14354399751745932999207349/123487001383772225809681502064977081297534976000000000000	2344791199447698155420520459150/15403174159064940584581	152227792.482	0	0
186	Q}k?GKE@W??@?B?B?@W?N?{@w??	663552	36	142641221136621039163/1189849901099789733893435866457781043200000000000000	345457967032195075166334063552/2200453451294991512083	156993989.956	0	1
110	QsnO??ACWSGHOjGOCMGl_IaPDD?	18	45	41371199809776502165705679/308717503459430564524203755162442703243837440000000000000	2703194195570796651507209065860/15403174159064940584581	175495918.416	0	0
18	Qsa??????V_}E[HkJIBL?]O@u??	36	45	91153204811527691525899061/617435006918861129048407510324885406487674880000000000000	2977975201192609682151122322870/15403174159064940584581	193335163.937	0	0
131	QtiW?CB??B`T@rOKGIJ?`SCS}??	36	45	11055357036690937832525341/68603889657651236560934167813876156276408320000000000000	3250606629498236450897426014230/15403174159064940584581	211034855.279	0	0
91	Qseg??B?oE_uOoSAceAaSIHHw@?	18	45	5759585844556840855694857/28065227587220960411291250469312973022167040000000000000	4139644729916783796622121520180/15403174159064940584581	268752705.59	0	0
21	Qsa?????AR`yHkD[MQ@r?Ug@f??	18	45	14148695171878622741720251/68603889657651236560934167813876156276408320000000000000	4160140841387471444748005401530/15403174159064940584581	270083347.655	0	0
132	QtiW?CB?GB?tArOSGBI_`WCS}??	18	45	66514004774162940564017537/205811668972953709682802503441628468829224960000000000000	6519037607915709804679358801370/15403174159064940584581	423226897.3	0	0
16	Qs_??KE@_K?K?WWEKB?oKE@`w??	9216	36	386564029078998756700307/342676771516739443361309529539840940441600000000000000	3250716654044802926772110242206/2200453451294991512083	1477293987.81	0	1
168	Q{c?GKC@GD?R?Y?Ti?AO@K?Gg?W	10368	36	587206565263430413237/407948537519927908763463725642667786240000000000000	4147896065538980420363500442640/2200453451294991512083	1885018773.33	0	1
11	Qs_?????AHgUO[HoAw?]?MG?wO?	1296	36	914173785272809857966817/171338385758369721680654764769920470220800000000000000	15375046434391316961172639183572/2200453451294991512083	6987217305.3	0	1
146	Quk?GKE@OD?I?J?Fg?@?@S?Kg?o	648	36	2330410160869965604949/86534538261802889737704426651474984960000000000000	77604200342765099083643182654320/2200453451294991512083	35267367413.3	0	1
75	Qsc?GKC@?B_U?i?Ti?@O@Y?Ho?O	648	36	23176177350450086567587/823742239222931354233917138316925337600000000000000	81076093194175536732776184505536/2200453451294991512083	36845175319	0	1
13	Qs_?????AK`MGsDKKgAd?Ig?\??	144	36	8177489799950181430919/216336345654507224344261066628687462400000000000000	108926328487916749074260764193568/2200453451294991512083	49501764476.7	0	0
74	Qsc?GGB@?C_oOXGFIGAP@IA?oOG	72	36	168014627530940831050537/1748350875085405323271987395611433369600000000000000	276924156733590548483521827623016/2200453451294991512083	125848677494	0	0
17	Qs_?G?C?aFCiAGCCdKAa_Q_OsA?	36	36	161660386633249136162419/1142255905055798144537698431799469801472000000000000	407833169873623009280073382530600/2200453451294991512083	185340512263	0	0
14	Qs_??GB@`@gIDAA`EcAU?I?`O@G	36	36	339149319870386080441003/2379699802199579467786871732915562086400000000000000	410687154909302847845349312831456/2200453451294991512083	186637510858	0	0
73	Qsc???A?QCcKPgHS@a?h@I`@PG?	36	36	25760855741341348639917767/171338385758369721680654764769920470220800000000000000	433259364459441333562035202973772/2200453451294991512083	196895491793	0	0
12	Qs_?????AJCqA[CkIW@U?RC?s_?	36	36	6447089149622343079996273/42834596439592430420163691192480117555200000000000000	433721888065399084193626389563472/2200453451294991512083	197105686471	0	0
9	Qs?GOO??G@?C?F?F?w?M?[?@o??	2239488	27	172621640789821053881/978098391656170810222090850691710976000000000000	508575036794549880726601634904300/2200453451294991512083	231122833567	0	1
76	Qsc?GKC@?D?IGYOdHA@`?IADOC_	36	36	420962264139646787006243/2196645971261150277957112368845134233600000000000000	552236924836652306285821019640264/2200453451294991512083	250965056549	0	0
15	Qs_??KE@?C?oALCRDEAaOYC@oG?	36	36	58924027827880428109753/263597516551338033354853484261416108032000000000000	644159558124973947062974881256200/2200453451294991512083	292739461381	0	0
10	Qs_?????@E`[C[BKIQ@k?RO@c_?	18	36	12962431224101462569457933/42834596439592430420163691192480117555200000000000000	872035427765800135391317429949712/2200453451294991512083	396298057227	0	0
138	Qts?GKE@OD?I?I?DC@Q?IQ?SoA_	36	36	6504724885628948934731827/19037598417596635742294973863324496691200000000000000	984598376080937829497731692978588/2200453451294991512083	447452490077	0	0
117	Qt?GOS??G@_C?D?B_o?I@W?@O?G	10368	27	146228033159801431801/4890491958280854051110454253458554880000000000	86162924885169915597695837016060000/2200453451294991512083	3.91568950638e+13	0	1
5	Qs??OGC@?O@?GgCcCG_aOOD@?g?	216	27	35204637870079023167911/54338799536453933901227269482872832000000000000	1866947843430879622516831524035639400/2200453451294991512083	8.48437781009e+14	0	0
116	Qt?G?CG@?A_S?E?HG?I?DF??b??	72	27	107823022684364145029041/40754099652340450425920452112154624000000000000	7623993952753611990145023832652455200/2200453451294991512083	3.46473766499e+15	0	0
154	QwCW?CB???_B????_?W????C??W	33592320	18	2706045963789599/830885434001517878568787378176000000000	9385045169006614777767608998687200000/2200453451294991512083	4.26505053469e+15	0	1
8	Qs?GGSG@?@?A?W?cA?h?SS@@_G?	36	27	2467373533711469379078119/489049195828085405111045425345855488000000000000	14538670585585156507934830771369391400/2200453451294991512083	6.6071248074e+15	0	0
7	Qs??WWG@?@?A?W?cA?h?SS@@_G?	36	27	16128624860111773461329/3196399972732584347131015851933696000000000000	14540474061703617278943016659095962200/2200453451294991512083	6.60794440034e+15	0	0
6	Qs??WOC@?O??O`GHAGaA_CI?_W?	18	27	382005932835543768819637/48904919582808540511104542534585548800000000000	22509191832340527169932857776417422000/2200453451294991512083	1.02293424199e+16	0	0
2	QoCO?CA??A_E??A?__O??O?C_?O	10368	18	1244036612960060659/181756188687832035936922238976000000000	19723605096793252662122069761001395200000/2200453451294991512083	8.96342755407e+18	0	1
3	QoCO?CA?OH@A????_?O?AG?H??O	648	18	981506871645409471/9087809434391601796846111948800000000	311226433924007154919343750866469376000000/2200453451294991512083	1.41437408613e+20	0	1
4	QoCOOGA?O?_C?@?A??G?CG?D??_	36	18	2759623273406738561/1419970224123687780757204992000000000	5600320797616074637408981854846133862400000/2200453451294991512083	2.54507578623e+21	0	0
1	Q`?G?C??G??@????_???@?????G	185794560	9	291953447/62206179990708289536000000	13524537368451362242396419115168665600000000/2200453451294991512083	6.14625015607e+21	0	1
0	Q??????????????????????????	6402373705728000	0	1/6402373705728000	450092030665624242825585671272857600000000000/2200453451294991512083	2.04545127006e+23	0	1
